Q1_A,Q1_B1
Strongly Opposed,casino share of revenue (30-40% ?we don't even know this yet) leaving the local ecommomy bound for the USA
Strongly in Favour,"The City needs money, having a casino will generate revenue"
Strongly in Favour,Jobs
Strongly in Favour,good for the economy
Strongly Opposed,Too easily accessible via public transit; gamblers are too close to the addiction
Strongly in Favour,Creates more job opportunities to Torontonians
Strongly in Favour,Provide jobs
Strongly Opposed,Social impacts
Strongly Opposed,Money from economy.
Strongly in Favour,Many jobs in the racing industry depend on a casino at Woodbine
Strongly Opposed,Casinos are not a very healthy pursuit for a society. The country's economic stability has been rocky in the past 5 years and is about to get alot rockier again.
Strongly Opposed,The cost to the social services of gambling joints of any kind far outweigh any apparent short term financial advantages
Strongly Opposed,"Concern re gambling, excessive, addicted, or just losing money one does not have"
Strongly in Favour,New jobs
Strongly in Favour,Expand Toronto's Tourism Offerings
Strongly in Favour,Good for the economy
Strongly in Favour,Will provide revenue for the city.
Strongly Opposed,"I live in the downtown core and the increase in traffic, without additional necessary (but impossible) transportation/infrastructure upgrading, would definitely decrease our enjoyment of living in the core."
Strongly Opposed,the wrong people get sucked in to gambling beyond their means..right now they actually have to make an effort to get to niagara or casinorama..which dissuaeds a large percentage..
Strongly in Favour,"Jobs - 5000+ construction, 7000+ full/part time opportunities"
Strongly in Favour,Revenue for Toronto
Strongly in Favour,A casino would help maintain the existing jobs at Woodbine for both the horsemen and current employees as well as create many new jobs
Strongly Opposed,We are not Niagara Falls or Las Vegas.
Strongly in Favour,Help grow economy
Strongly Opposed,"It is not benefit to all residents, especially young people"
Strongly Opposed,transportation issues
Strongly in Favour,"Jobs, jobs, jobs"
Strongly in Favour,Jobs
Strongly Opposed,Casinos bring more trouble than they're worth.
Strongly Opposed,I am not in support of encouraging gambling and gambling addictions.  I've worked on OLG projects and am not at all convinced this company is concerned in the least with the health and well-being of the patrons that use their facilities.
Strongly Opposed,Social problems caused by gambling
Strongly Opposed,Causes harm to vulnerable people
Strongly Opposed,there is no social benefit in a casino
Strongly Opposed,Gambling takes advantage of the desperate
Strongly in Favour,Revenue source
Strongly in Favour,Casinos are great for revenue generation
Strongly Opposed,activities associated with gambling
Strongly in Favour,Increased tourism and financial benefit to the City
Strongly Opposed,"City would have no say on location, and waterfront locations would ruin plans for livable/usable neighbourhoods."
Strongly in Favour,great entertainment
Strongly in Favour,Jobs - construction & Full/Part Time
Strongly Opposed,"casino can bring a lot of troubles for the city.( increase crimes, bring down people moral level, bad affect on next generations."
Strongly Opposed,too much traffic
Strongly Opposed,"Casinos encourage gambling, which is a destructive and unhealthy activity"
Strongly Opposed,Brings bad element to downtown core and Toronto.
Somewhat Opposed,keep casinos rural
Strongly Opposed,I don't like gambling
Strongly in Favour,more revenue for the city
Strongly Opposed,increased addiction to gambling
Strongly Opposed,gambling causes lots problems to families to members young or elder.
Strongly in Favour,I work for Woodbine
Somewhat Opposed,don't want to degrade any existing neighbourhood
Strongly Opposed,Casinos are trashy
Strongly Opposed,"I believe that generally casinos are a negative influence in the life of a city (e.g., Atlantic City)"
Strongly Opposed,cause of crime
Strongly Opposed,"The casino should be located at Woodbine Racetrack, easier access and more acceptable than at the other proposed locations"
Strongly Opposed,"Social problems (crime, addiction)"
Strongly Opposed,Not enough mental health supports already in the city - cannot afford to add gambling supports to the mix.
Strongly in Favour,employment
Strongly Opposed,A Casino would serious hurt small business in Toronto
Strongly Opposed,casinos are a tax on the poor
Strongly Opposed,Concerned about the net affect on the economy.
Strongly Opposed,Casino's are Niagara Falls thing.  Let them have it.
Strongly Opposed,Problem gambling
Strongly Opposed,Will kill independent local businesses
Strongly Opposed,There is already a casino in the GTA (Woodbine)
Strongly Opposed,Public health
Strongly Opposed,
Strongly in Favour,It will provide jobs
Strongly Opposed,Social costs associated with casinos far out weigh the proposed financial benefits.
Strongly Opposed,Against gambling in general
Strongly Opposed,people get addicted
Strongly in Favour,tourism
Strongly Opposed,"Negative effect on Toronto local business community e.g., theatres, restaurants, bars"
Strongly Opposed,the woodbine racetrack casino is so convenient that nothing else anywhere is suitable.
Somewhat in Favour,
Somewhat in Favour,Casino is a good source of money for the city budget
Strongly in Favour,Revenue
Strongly Opposed,The sleaze element it brings to Toronto
Strongly Opposed,I live downtown and I do believe it's in the best interests of the kind of city I choose to inhabit.
Strongly Opposed,Increased crime
Strongly Opposed,it will take my job away
Strongly in Favour,Revenue
Strongly Opposed,The casino will not create the sort of jobs Toronto needs to make it competitive and prosperous in the future.
Somewhat in Favour,Traffic congestion
Strongly Opposed,"We don't need another casino in Toronto, we already have them in Niagara n rama."
Strongly Opposed,"Montreal has seen no major benefits around their casino, in fact the area is quite scummy, full of parking lots and industrial lands"
Strongly in Favour,The city needs money and this will generate money
Strongly Opposed,It will bring damages to our society.
